You logged into your ViaBill account.,Du er logget ind på din ViaBill konto.
An error occurred during request to ViaBill. Please try again later.,Der opstod en fejl under anmodningen til ViaBill. Prøv igen senere.
Invalid command,Ugyldig forespørgsel
Renewed order on ViaBill.,Fornyet ordre hos ViaBill.
The order has been successfully renewed.,Ordren er blevet fornyet.
An error occurred during order renewal. Please try again later.,Der opstod en fejl under ordre fornyelse. Prøv igen senere.
An error occurred during callback processing.,Der opstod en fejl under callback.
Invalid request,Ugyldig forespørgsel
Payment cancelled from ViaBill.,Betaling annulleret af ViaBill.
Transaction validation failed.,Validering af transaktionen mislykkedes.
Error when trying to capture the order - please contact ViaBill for more information.,Fejl opstod ved forsøg på capture - kontakt venligst ViaBill for mere information.
Capture is not longer possible for this transaction - please contact ViaBill for more information.,Capture er ikke længere muligt for denne transaktion - kontakt venligst ViaBill for mere information.
You are not allowed to make several capture attempts in a very short time - please try again in 15 minutes or contact ViaBill for more info.,Det er ikke tilladt at foretage flere capture forsøg på meget kort tid - prøv igen om 15 minutter eller kontakt ViaBill for mere info.
Error when trying to capture the transaction - please try again in 15 minutes.,"Fejl, ved forsøg på capture - prøv igen om 15 minutter."
Error when trying to refund the transaction - please contact ViaBill for more information.,Fejl ved forsøg på refundering - kontakt venligst ViaBill for mere information.
Refund is not possible at the moment - please contact ViaBill for more information.,Refunderingen er ikke mulig i øjeblikket - kontakt venligst ViaBill for mere information.
Error when trying to refund the transaction - please try again in 15 minutes.,Fejl ved forsøg på at refundere transaktionen - prøv igen om 15 minutter.
Error when trying to cancel the transaction - please contact ViaBill for more information.,Fejl ved forsøg på at annullere transaktionen - kontakt venligst ViaBill for mere information.
It's not possible to cancel the transaction - please try again in 15 minutes.,Det er ikke muligt at annullere transaktionen - prøv igen om 15 minutter.
It's not possible to renew the order at the moment - please contact ViaBill for more information.,Det er ikke muligt at forny ordren i øjeblikket - kontakt venligst ViaBill for mere information.
Renew is no longer possible for this transaction.,Fornyelse er ikke længere muligt for denne transaktion.
Error when trying to renew the order - please try again in 15 minutes.,Fejl ved forsøg på at forny ordren - prøv igen om 15 minutter.
Order doesn't have ViaBill transaction and can't be invoiced right now,Ordren har ikke en ViaBill transaktion og kan derfor ikke faktureres lige pt.
Gateway response error. Incorrect authorize payment parameters.,Gateway fejlmeddelelse. Forkerte parametre til godkendelse af betaling..
Yes,Ja
No,Nej
--Please Select--,--Vælg venligst--
name,navn
Critical,Kritisk
Major,Større
Minor,Mindre
Notice,Varsel
On Hold,På hold
Pending,Afventer
Pending Payment,Afventer Betaling
Processing,Behandler
